Column names,Description,Data type,Valuable to project,notes
Fuel Type Code,,,na,
Station Name,Name of the charging/fueling station.,VARCHAR(255),yes,
Street Address,Physical street address.,VARCHAR(255),yes,
Intersection Directions,Extra directions to help find the station.,TEXT,maybe,This is helpful to find the location of the station
City,City where the station is located.,VARCHAR(100),yes,
State,"Province/State (e.g., ON, QC, AB).",CHAR(2),yes,
ZIP,Postal code.,VARCHAR(15),yes,
Plus4,,,blank,
Station Phone,Contact phone number.,VARCHAR(50),yes,
Status Code,,,na,
Expected Date,,,blank,
Groups With Access Code,,VARCHAR(50),na,This is not needed as same information is already available in access code and access code details
Access Days Time,Operating hours and access restrictions.,TEXT,yes,
Cards Accepted,"Payment methods accepted (Visa, Mastercard, Debit, Cash, etc.).",VARCHAR(100),yes,
BD Blends,,,blank,
NG Fill Type Code,,,blank,
NG PSI,,,blank,
EV Level1 EVSE Num,Number of Level 1 EV chargers available.,INTEGER,yes,
EV Level2 EVSE Num,Number of Level 2 EV chargers available.,INTEGER,yes,
EV DC Fast Count,Number of DC Fast Chargers available.,INTEGER,yes,
EV Other Info,,,blank,
EV Network,Brand of charging station. Some may require account or RFID card to use,VARCHAR(100),yes,"categroical data Non-Network = 0 , any other = 1 , tell the user to create an account o use that service"
EV Network Web,Website for the network to register.,VARCHAR(255),maybe,
Geocode Status,Quality/source of the location coordinates.,VARCHAR(20),maybe,This gives the quality or source of the location coordinates
Latitude,North-South geographic coordinate.,DOUBLE,yes,
Longitude,East-West geographic coordinate.,DOUBLE,yes,
Date Last Confirmed,Date station information was last verified.,DATE,yes,Possibly no as this will make us give more information about the station. Some stations are non-networked.
ID,Unique station identifier.,INTEGER,maybe,
Updated At,,,na,
Owner Type Code,,,na,
Federal Agency ID,,,na,
Federal Agency Name,,,na,
Open Date,,,na,
Hydrogen Status Link,,,blank,
NG Vehicle Class,,,blank,
LPG Primary,,,blank,
E85 Blender Pump,,,blank,
EV Connector Types,"Charger connector types available (J1772, CCS, CHAdeMO, Tesla, etc.).",VARCHAR(255),yes,
Country,,,na,
Intersection Directions (French),,,na,
Access Days Time (French),,,na,
BD Blends (French),,,na,
Groups With Access Code (French),,,na,
Hydrogen Is Retail,,,na,
