"Station_ID (PK,FK)",EV_Level1_EVSE_Num,EV_Level2_EVSE_num,EV_DC_Fast_Count,EV_Onsite_Renewable_sources
82833,,1,,
82834,,1,,
82837,,1,,
82838,,1,,
82839,,4,,
82840,,2,,
82842,,2,,
82904,,1,,
82906,,2,,
82911,,1,,
82912,,1,,
82915,,1,,
82916,,1,,
82918,,2,,
82919,,1,,
82920,,1,,
82921,,1,,
82922,,2,,
82924,,1,,
82925,,4,,
82927,,2,,
82929,,4,,
82930,,1,,
82931,,1,,
82932,,1,,
82933,,1,,
82935,,2,,
82937,,1,,
82938,,,1,
82939,,1,,
82940,,1,,
82943,,2,,
82950,,3,,
82952,,1,,
82956,,1,,
82957,,1,,
82958,,1,,
82970,,4,,NONE
82972,,3,,
82973,,8,,
82976,,2,,
82981,,2,,
82987,,1,,
82990,,1,,
82991,,1,,
82994,,2,,
82999,,1,,
83005,,4,,
83016,,1,,
83019,,1,,
83021,,2,,
83026,,2,,
83035,,1,,
83042,,1,,
83046,,2,,
83048,,5,,
83050,,1,,
83053,,1,,
83054,,1,,
83055,,1,,
83057,,1,,
83073,,1,,
83074,,1,,SOLAR
83077,,1,,
83078,,1,,
83079,,1,,
83081,,1,,
83082,,1,,
83083,,1,,
83084,,1,,
83088,,2,,
83089,,1,,
83090,,2,,
83092,,1,,
83093,,1,,
83095,,1,,
83096,,2,,
83097,,2,,
83098,,1,,
83099,,3,,
83102,,2,,
83103,,5,1,
83105,,1,,
83108,,1,,
83111,,2,,
83113,,1,,
83115,,42,,
83116,,2,,
83117,,1,,
83122,,3,,
83123,,1,,
83124,,,1,
83129,,2,,
83130,,1,,
83133,,1,,
83135,,2,,
83138,,1,,
83145,,1,,
83151,,4,,
83153,,2,,NONE
83160,,1,,
83162,,2,,
83168,,1,,
83170,,1,,
83182,,4,,
83186,,2,,
83191,,1,,
83192,,2,,
83196,,1,,
83198,,2,,
83199,,1,,
83201,,1,,
83207,,8,,
83208,,2,,
83210,,2,,
83212,,2,,
83213,,6,,
83218,,2,,
83221,,2,,
83223,,2,,
83226,,1,,
83231,,1,,
83251,,2,,
83257,,1,,
83258,,1,,
83264,,1,,
83267,,2,,
83271,,1,,
83277,,2,,
83280,,4,,
83287,,1,,
83289,,1,,
