Location_ID (PK),Street_Address,City ,State,ZIP,Intersection_Direction,Longitude,Latitude,Geocode_status
1,1319 2nd St W,Brooks,AB,T1R 1P7,,-111.898615,50.585242,200-9
2,149 E Lake Crescent NE,Airdrie,AB,T4A 2H9,,-113.998284,51.288119,200-9
3,8-823 41st Ave NE,Calgary,AB,T2E 6Y3,,-114.043029,51.092856,200-9
4,7220 Railway St SE,Calgary,AB,T2H 3A8,,-114.042414,50.990495,200-9
5,3710 Market St SE,Calgary,AB,T3M 2P2,,-113.9558735,50.88028294,GPS
6,2720 Barlow Trail NE,Calgary,AB,T1Y 1A1,,-114.0002598,51.07626274,GPS
7,4995 rue Saint-Laurent,Sorel-Tracy,QC,J3R 5S8,,-73.154564,46.024209,200-9
8,1031 Route 111 E,Amos,QC,J9T 1N2,,-78.10465139,48.55973356,GPS
9,815 rue Plante,St-Jean-sur-Richelieu,QC,J3A 1M8,,-73.272159,45.327381,200-9
10,22 rue du Quai,St-Petronille,QC,G0A 4C0,,-71.131891,46.845153,200-9
11,1031 boul. Duchesne,Yamachiche,QC,G0X 3L0,,-72.83629217,46.29013734,GPS
12,2370 chemin du Lac,Lac Megantic,QC,G6B 2S5,Near the beach,-70.92859287,45.58851037,GPS
13,387 N Front St,Belleville,ON,K8P 3C8,,-77.396476,44.189215,200-8
14,6400 Lundy's Ln,Niagara Falls,ON,L2G 6H2,,-79.101054,43.088776,200-9
15,930 Burnham St,Cobourg,ON,K9A 2X9,,-78.191994,43.972091,200-9
16,84 avenue Principale,Rouyn-Noranda,QC,J9X 4P2,,-79.0204,48.240888,200-9
17,1231 boul. Albiny Paquette,Mont-Laurier,QC,J9L 1M6,,-75.476595,46.552054,200-9
18,420 boul. Monseigneur-Dubois,St-Jerome,QC,J7Y 3L8,,-74.01704,45.780488,200-9
19,3701 boul. Ducharme,La Tuque,QC,G9X 4T4,,-72.785041,47.389023,200-8
20,1800 2nd Ave E,Owen Sound,ON,N4K 5R1,,-80.936692,44.578532,200-9
21,5680 boul. Jean-Xxiii,Trois-Rivières-Ouest,QC,G8Z 4B5,,-72.59311847,46.33286975,GPS
