Station_ID,Payment_ID
82931,1
82931,5
82931,6
82931,10
82931,12
82933,1
82933,5
82933,8
82933,10
82933,12
82973,1
82973,5
82973,8
82973,10
82973,12
83098,11
83170,1
83170,5
83170,8
83170,10
83170,12
83196,5
83257,5
83257,8
83257,10
83257,12
83300,5
83307,1
83307,7
83307,8
83307,10
83307,12
83320,8
83326,
83326,8
83326,10
83410,1
83410,7
83410,8
83410,10
83410,12
83540,5
83540,
83540,8
83626,
83726,8
83726,10
83726,12
83760,8
83760,10
83760,12
83832,5
83832,10
83832,12
84038,
84038,8
84171,5
84171,
84171,8
84171,10
84171,12
84192,
84192,10
84192,12
84207,1
84207,5
84207,7
84207,8
84207,10
84207,12
84234,5
84270,1
84270,5
84270,7
84270,8
84270,10
84270,12
84308,1
84308,3
84308,4
84308,
84308,8
84308,10
84308,12
84346,5
84350,5
84388,1
84388,
84388,7
84388,10
84388,12
84435,5
84435,
84435,8
84435,10
84435,12
84457,5
84467,5
84467,8
84467,10
84467,12
84589,1
84589,10
84589,12
84690,1
84690,5
84690,8
84690,10
84690,12
84715,5
84867,8
84867,10
84867,12
84868,5
85030,5
85226,
85241,13
85336,5
85336,8
85336,10
85336,12
87664,
88667,1
88667,10
88667,12
91897,5
98518,5
122951,1
122951,5
122951,8
122951,10
122951,12
145321,1
145321,4
145321,
145321,8
145321,10
145321,12
158292,1
158292,4
158292,
158292,8
158292,10
158292,12
165376,1
165376,4
165376,
165376,8
165376,10
165376,12
165377,1
165377,4
165377,
165377,8
165377,10
165377,12
165378,1
165378,4
165378,
165378,8
165378,10
165378,12
165379,1
165379,4
165379,
165379,8
165379,10
165379,12
165416,1
165416,4
165416,
165416,8
165416,10
165416,12
169663,
185929,1
185929,7
185929,8
185929,10
185929,12
185930,1
185930,7
185930,8
185930,10
185930,12
185931,1
185931,7
185931,8
185931,10
185931,12
185932,1
185932,7
185932,8
185932,10
185932,12
185933,1
185933,7
185933,8
185933,10
185933,12
185935,1
185935,7
185935,8
185935,10
185935,12
185936,1
185936,7
185936,8
185936,10
185936,12
185939,1
185939,7
185939,8
185939,10
185939,12
185940,1
185940,7
185940,8
185940,10
185940,12
185943,1
185943,7
185943,8
185943,10
185943,12
185944,1
185944,7
185944,8
185944,10
185944,12
185949,1
185949,7
185949,8
185949,10
185949,12
185950,1
185950,7
185950,8
185950,10
185950,12
185951,1
185951,7
185951,8
185951,10
185951,12
185952,1
185952,7
185952,8
185952,10
185952,12
185953,1
185953,7
185953,8
185953,10
185953,12
185956,1
185956,7
185956,8
185956,10
185956,12
185957,1
185957,7
185957,8
185957,10
185957,12
185960,1
185960,7
185960,8
185960,10
185960,12
185961,1
185961,7
185961,8
185961,10
185961,12
185964,1
185964,7
185964,8
185964,10
185964,12
