Station_ID  (PK),Station_name,Station_phone ,Location_ID (FK),Network_ID (FK),Access_code,Access_Detail_code,Access_Day_time,EV_Pricing,Date_last_confirmed,Maximum_Vehicle_Class,Ev_Workplace_charging ,Restricted_access
82833,Ramada,403-362-6440,12452,10,public,CALL,24 hours daily; see front desk for access,Free,2/13/2026,LD,FALSE,TRUE
82834,Davis Chevrolet,403-948-6909,14200,7,public,,24 hours daily; for client use only,Free,11/6/2024,LD,FALSE,TRUE
82837,Gasonic Instruments,403-276-2201,12266,33,public,LIMITED_HOURS,8am-5pm M-F; remaining hours and all weekends available to the public,Free,11/6/2024,LD,TRUE,FALSE
82838,International Motor Cars,844-288-8918,10770,4,public,CALL,24 hours daily,Free,10/7/2020,,FALSE,FALSE
82839,Residence Inn,587-349-8633,1792,7,public,,24 hours daily; for guest use only,Parking fee required for public use,2/13/2026,LD,FALSE,TRUE
82840,Platinum Mitsubishi,,10567,28,public,CALL,Dealership business hours,Free,2/13/2026,LD,FALSE,TRUE
82842,Nissan Sorel-Tracy,,1695,2,private,,For service use only,,3/12/2026,,TRUE,
82904,Amosphere Complexe Hotelier,819-732-7777,11223,2,public,,24 hours daily; for client use only,Free,3/12/2026,LD,FALSE,TRUE
82906,Assurance Romeo Bessette et Fils Inc,450-359-8888,10450,2,public,,24 hours daily; for employee use only; Also accepts donations,Free,3/30/2026,LD,TRUE,TRUE
82911,Auberge la Goeliche,418-828-2248,12340,33,public,,24 hours daily; for client use only,Free,3/30/2026,LD,FALSE,TRUE
82912,BMR Yamachiche,819-296-3713,6078,4,public,,24 hours daily,Free,11/13/2025,LD,FALSE,FALSE
82915,Baie-des-Sables,819-583-3965,15166,45,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
82916,Best Western - Belleville,613-969-1112,9165,1,public,CALL,24 hours daily; for guest use only,Free,3/30/2026,LD,FALSE,TRUE
82918,Best Western - Cairn Croft,905-356-1161,2140,2,public,CALL,24 hours daily; guest and restaurant client use only,Free,2/13/2026,LD,TRUE,TRUE
82919,Best Western Plus - Cobourg Inn & Convention Centre,905-372-2105,2135,2,public,,24 hours daily; for hotel/restaurant guest use only,Free,3/30/2026,LD,FALSE,TRUE
82920,Best Western Albert Centre-Ville,819-762-3545,2141,2,public,,24 hours daily; for guests only,Free,3/30/2026,LD,FALSE,TRUE
82921,Best Western Plus,819-623-5252,2139,2,public,,24 hours daily; for guest use only,Free,3/30/2026,LD,FALSE,TRUE
82922,Best Western Plus Hotel,450-438-1155,707,10,public,,24 hours daily; for guest use only,Free,3/12/2026,LD,FALSE,TRUE
82924,Parc des Chutes,819-523-5930,707,10,public,,24 hours daily,Free,3/30/2026,HD,FALSE,FALSE
82925,Best Western - Inn on the Bay,519-371-9200,2119,6,public,,24 hours daily; for guest use only,,2/13/2026,LD,FALSE,TRUE
82927,Cafe Morgane Jean-Xx-Iii,819-841-0444,15343,6,public,,24 hours daily; for client use only,Free,3/30/2026,LD,FALSE,TRUE
82929,Caisse Desjardins,855-519-2366,12737,7,public,,24 hours daily; for client use only,Free,4/9/2025,LD,FALSE,TRUE
82930,Auberge la Seigneurie des Monts Inc,418-763-5308,13512,7,public,,24 hours daily; free for clients,"$5-6 per charge for non-guests, free for guests, reception closes at 10 PM",3/30/2026,LD,FALSE,TRUE
82931,Best Western - North Bay,705-474-5800,11126,2,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
82932,Best Western - Otonabee Inn,705-742-3454,14225,18,public,,24 hours daily; primarily for client use,Free for guest use; $9 per session for the public,4/9/2025,LD,FALSE,TRUE
82933,Best Western - Pembroke Inn,613-735-0131,2955,13,public,,24 hours daily; for client use only,Free,1/13/2025,LD,FALSE,TRUE
82935,Centre le Sillon,418-829-3100,12762,10,public,,8am-9pm daily,Free,11/13/2025,LD,FALSE,FALSE
82937,Best Western Plus - Dryden,807-223-3201,12762,10,public,,24 hours daily; for client use only,Free,2/13/2026,LD,FALSE,TRUE
82938,Château Repotel Henri IV,418-872-1112,4833,10,public,,24 hours daily; for guest use only,Free,3/30/2026,LD,FALSE,TRUE
82939,Best Western Plus- Brant Park Inn,519-753-8651,4296,10,public,,24 hours daily; for guests only,Free,2/13/2026,LD,TRUE,TRUE
82940,Chocolaterie de l'Ile d'Orleans,418-828-2252,1290,1,public,,24 hours daily; For client and employee use only,Free,3/12/2026,LD,TRUE,TRUE
82943,Ecole de Sainte-Famille,418-829-3572  418-829-0297,6215,2,public,,24 hours daily,Free,12/12/2022,LD,TRUE,FALSE
82950,Riotel Matane,877-566-2651,10203,10,public,,24 hours daily,Free,1/12/2023,LD,FALSE,FALSE
82952,Best Western Plus - City Centre,613-728-1951,12002,2,public,,24 hours daily; for client use only,$10 session fee,1/13/2025,LD,FALSE,TRUE
82956,Best Western Plus - Mariposa Inn,705-325-9511,12238,33,public,,24 hours daily; for guest use only,Free,4/9/2025,LD,FALSE,TRUE
82957,Best Western Plus - Milton,905-875-3818,15316,10,public,,24 hours daily; for guest use only,$25 starting fee,2/13/2026,LD,FALSE,TRUE
82958,Best Western Plus - Nor'Wester Hotel,807-473-9123,15316,10,public,,24 hours daily; For guest use only,Free,3/7/2025,LD,FALSE,TRUE
82970,Hotel Sommet des Neiges,819-681-9000,3331,2,public,KEY_ALWAYS,24 hours daily; for guest use only,Free for guests; parking fee required,3/30/2026,MD,FALSE,TRUE
82972,Hotel Port-Royal,418-692-2777,6454,2,public,,24 hours daily; priority given to hotel guests,"$25 per day for hotel guests, hourly rate available for public",3/12/2026,LD,FALSE,FALSE
82973,Hopital General Juif,514-340-8222,1696,2,public,,24 hours daily,Free with parking fee,4/5/2023,LD,FALSE,FALSE
82976,Hotel Montfort Nicolet,,4722,10,public,,24 hours daily; for client and guest use only,Free,11/13/2025,LD,FALSE,TRUE
82981,Crabby Joe's,519-235-1400,9233,2,public,,24 hours daily,Free,2/13/2026,LD,FALSE,FALSE
82987,Euro Parts,800-678-8352,6171,4,public,,24 hours daily,Free,3/7/2025,LD,FALSE,FALSE
82990,Manoir Mauvide-Genest,418-829-2630,6745,4,public,,24 hours daily,Free,6/11/2018,,FALSE,FALSE
82991,Marcel Dionne et Fils Club Piscine,418-723-1692,10007,4,public,,24 hours daily; for client use only,Free,3/30/2026,LD,TRUE,TRUE
