Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Extension/Second Number,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code,Access Detail Code,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging
Canadian Rockies International Airport,#1 - 9370 Airport Access Road,,Cranbrook,BC,V1C 7E4,888-356-8911,,24 hours daily,,,5,,FLO,https://www.flo.com,GPS,49.611736,-115.790072,2026-06-29,331887,J1772,public,,Price Information not available,,0,,0
We Wai Kai Nation,"#1 Lighthouse Road,",,Quadra Island,BC,V0P 1N0,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.99622,-125.18777,2026-06-29,192838,J1772,public,,Price Information not available,,0,,0
Gescan North Vancouver,#100 - 275 Fell Avenue,,North Vancouver,BC,V7P 3R5,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.319411,-123.095562,2026-06-29,355181,J1772,public,,Price Information not available,,0,,0
JJ Bean Big Bend,#101 8288 North Fraser Way,,Burnaby,BC,V3N 5G4,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,49.193284,-122.97474,2026-06-29,129988,J1772,public,,Price Information not available,,0,,0
Popeyes Louisiana Kitchen - Lloydminster,#101b 8120 44 Street,,Lloydminster,AB,T9V 3L6,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,53.2791435,-110.0645695,2026-06-29,258544,J1772,public,,Price Information not available,,0,,0
Gescan Whistler,#103 - 1410 Alpha Lake Road,,Whistler,BC,V8E 0J3,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,50.090375,-123.030205,2026-06-29,355182,J1772,public,,Price Information not available,,0,,0
C81612 YYC,#105 9182 Airport Link NE,,Calgary,AB,T2E 6W5,855-900-7584,,24 hours daily,,,,8,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,51.134616,-114.004356,2026-06-29,446789,J1772COMBO TESLA,public,,Price Information not available,,0,,0
CITYOFVANCOUVER MAINLAND2,#120 - 280 Nelson St,,Vancouver,BC,V6B 2E2,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,49.276923,-123.119261,2026-06-29,162864,J1772,public,,Price Information not available,,0,,0
WELCOME IRONWOOD 01,11393 Steveston Hwy,Located on East side of Sleep Country,Richmond,BC,V7A,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.133137,-123.097817,2026-06-29,163252,J1772,public,,Price Information not available,,0,,0
Haida Heritage Centre at Kay Llnagaay - Tesla Destination,#2 Second Beach Rd,,Skidegate,BC,V0T 1S1,877-798-3752,,,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,53.248297,-131.997628,2024-07-01,150704,TESLA,public,,Price Information not available,,,,0
QEII Fuel Bar - 3 32580 Range Road 11,#3 32580 Range Road 11,,Olds,AB,T4H 1P5,888-356-8911,,24 hours daily,,,,1,FLO,https://www.flo.com,GPS,51.79439,-114.03754,2026-06-29,197139,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Drewry Electrical,#6 2799 Beck Rd,,Cumberland,BC,V0R 1S0,888-356-8911,,24 hours daily,,,,1,FLO,https://www.flo.com,GPS,49.647119,-125.053997,2026-06-29,330756,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Hanna Motor Products,#600 Industrial Rd West,,Hanna,AB,T0J 1P0,866-816-7584,,24 hours daily,,,,1,EV Connect,https://www.evconnect.com,GPS,51.635403,-111.940736,2026-06-29,253052,J1772COMBO,public,,Price Information not available,,0,,0
BC Hydro - Skidegate,#825 Hwy 16,,Skidegate,BC,V0T 1Y0,866-338-3369,,24 hours daily,,,1,1,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,53.26266051,-131.9948013,2026-06-29,254958,CHADEMO J1772 J1772COMBO,public,,Price Information not available,,0,,0
