Station_ID  (PK),Station_name,Station_phone,Location_ID (FK),Network_ID (FK),Access_code,Access_Detail_code,Access_Day_time,EV_Pricing,Date_last_confirmed,Maximum_Vehicle_Class,Ev_Workplace_charging,Restricted_access,Location_ID (PK),Street_Address,City,State,ZIP,Intersection_Direction,Longitude,Latitude,Geocode_status
82833,Ramada,403-362-6440,12452,10,public,CALL,24 hours daily; see front desk for access,Free,2026-02-13,LD,False,1.0,12452,535 Cariboo Highway,100 Mile House,BC,V0K 2E0,West side of building,-121.297693,51.638709,GPS
82834,Davis Chevrolet,403-948-6909,14200,7,public,,24 hours daily; for client use only,Free,2024-11-06,LD,False,1.0,14200,155 Wrangler Way,100 Mile House,BC,V0K 1G0,,-121.297817650856,51.6414981188589,GPS
82837,Gasonic Instruments,403-276-2201,12266,33,public,LIMITED_HOURS,8am-5pm M-F; remaining hours and all weekends available to the public,Free,2024-11-06,LD,True,0.0,12266,199 Exeter Rd,100 Mile House,BC,V0K 2E0,,-121.29392,51.65002,GPS
82838,International Motor Cars,844-288-8918,10770,4,public,CALL,24 hours daily,Free,2020-10-07,,False,0.0,10770,300 Cariboo Hwy,100 Mile House,BC,V0K 2E0,,-121.2979965,51.64450073,GPS
82839,Residence Inn,587-349-8633,1792,7,public,,24 hours daily; for guest use only,Parking fee required for public use,2026-02-13,LD,False,1.0,1792,1597 BC-97,70 Mile House,BC,V0K 2K0,,-121.396781,51.30481,GPS
82840,Platinum Mitsubishi,,10567,28,public,CALL,Dealership business hours,Free,2026-02-13,LD,False,1.0,10567,1915 McCallum Rd,Abbotsford,BC,V2S 3N1,,-122.29391,49.03664,200-8
82842,Nissan Sorel-Tracy,,1695,2,private,,For service use only,,2026-03-12,,True,,1695,32315 South Fraser Way,Abbotsford,BC,V2T 1W7,,-122.329603,49.052739,GPS
82904,Amosphere Complexe Hotelier,819-732-7777,11223,2,public,,24 hours daily; for client use only,Free,2026-03-12,LD,False,1.0,11223,3106 Clearbrook Road,Abbotsford,BC,V2T 4B9,,-122.335749,49.058722,GPS
82906,Assurance Romeo Bessette et Fils Inc,450-359-8888,10450,2,public,,24 hours daily; for employee use only; Also accepts donations,Free,2026-03-30,LD,True,1.0,10450,2499 McMillan Rd,Abbotsford,BC,V2S 7S5,,-122.261748,49.047851,GPS
82911,Auberge la Goeliche,418-828-2248,12340,33,public,,24 hours daily; for client use only,Free,2026-03-30,LD,False,1.0,12340,35011 Old Clayburn Rd,Abbotsford,BC,V2S 7L7,,-122.25464,49.06204,GPS
82912,BMR Yamachiche,819-296-3713,6078,4,public,,24 hours daily,Free,2025-11-13,LD,False,0.0,6078,32375 Veterans Way,Abbotsford,BC,V2T 0K1,,-122.328196883181,49.0542768804288,GPS
82915,Baie-des-Sables,819-583-3965,15166,45,public,,24 hours daily,Free,2026-03-30,LD,False,0.0,15166,1201 Sumas Way,Abbotsford,BC,V2S 8H2,,-122.2660943,49.0253625,GPS
82916,Best Western - Belleville,613-969-1112,9165,1,public,CALL,24 hours daily; for guest use only,Free,2026-03-30,LD,False,1.0,9165,32900 Marshall Rd,Abbotsford,BC,V2S 0C2,,-122.312506677246,49.036864214151,200-8
82918,Best Western - Cairn Croft,905-356-1161,2140,2,public,CALL,24 hours daily; guest and restaurant client use only,Free,2026-02-13,LD,True,1.0,2140,31150 Blueridge Drive,Abbotsford,BC,V2T 5R2,,-122.3643353,49.0672011,GPS
82919,Best Western Plus - Cobourg Inn & Convention Centre,905-372-2105,2135,2,public,,24 hours daily; for hotel/restaurant guest use only,Free,2026-03-30,LD,False,1.0,2135,32877 Old Riverside Road,Abbotsford,BC,V2S 8K2,,-122.3156502,49.0663292,GPS
82920,Best Western Albert Centre-Ville,819-762-3545,2141,2,public,,24 hours daily; for guests only,Free,2026-03-30,LD,False,1.0,2141,35139 Laburnam Avenue,Abbotsford,BC,V2S 8N3,,-122.2539864,49.0703588,GPS
82921,Best Western Plus,819-623-5252,2139,2,public,,24 hours daily; for guest use only,Free,2026-03-30,LD,False,1.0,2139,32355 Mouat Drive,Abbotsford,BC,V2T 4E9,,-122.3294606,49.0593674,GPS
82922,Best Western Plus Hotel,450-438-1155,707,10,public,,24 hours daily; for guest use only,Free,2026-03-12,LD,False,1.0,707,30150 Automall Dr,Abbotsford,BC,V2T 6Y9,,-122.388183,49.06155,GPS
82924,Parc des Chutes,819-523-5930,707,10,public,,24 hours daily,Free,2026-03-30,HD,False,0.0,707,30150 Automall Dr,Abbotsford,BC,V2T 6Y9,,-122.388183,49.06155,GPS
82925,Best Western - Inn on the Bay,519-371-9200,2119,6,public,,24 hours daily; for guest use only,,2026-02-13,LD,False,1.0,2119,3122 Mount Lehman Rd,Abbotsford,BC,V4X 2K9,,-122.379608,49.058763,GPS
82927,Cafe Morgane Jean-Xx-Iii,819-841-0444,15343,6,public,,24 hours daily; for client use only,Free,2026-03-30,LD,False,1.0,15343,2110 Whatcom Rd,Abbotsford,BC,V3G 2K8,,-122.222109,49.042334,GPS
